,Try_ID,deep,offset,Features_disc_capa,Features_dis_ener,Features_char_capa,Features_eff_ener,Features_char_ener,Features_dc_res,Features_temp_avg,Features_temp_min,Features_temp_max,Metrics_baseline,Metrics_train_eval,Metrics_validation_eval,Metrics_test_eval,Metrics_training_time,Metrics_epochs,HyperParams_unit_type,HyperParams_n_units,HyperParams_n_layer,HyperParams_dropout_rate,HyperParams_dropout_layer
0,1,40,20,X,X,X,X,X,X,X,X,X,323.6759605729077,133.13746643066406,124.17515563964844,,299.8172299069993,74,LSTM,4,2,0.2,True
1,2,40,20,X,X,X,X,X,X,X,X,X,323.6759605729077,140.2875213623047,114.93179321289062,,510.91867853799977,122,LSTM,4,2,0.3,True
2,3,40,20,X,X,X,X,X,X,X,X,X,323.6759605729077,136.7537078857422,107.96372985839844,,564.1900032540007,90,LSTM,4,3,0.2,True
3,4,40,20,X,X,X,X,X,X,X,X,X,323.6759605729077,171.19029235839844,163.18272399902344,,498.7574851810005,78,LSTM,4,3,0.3,True
4,5,40,20,X,X,X,X,X,X,X,X,X,323.6759605729077,139.33164978027344,88.48021697998047,,363.5652722750001,86,LSTM,5,2,0.2,True
5,6,40,20,X,X,X,X,X,X,X,X,X,323.6759605729077,129.5579376220703,114.49093627929688,,421.3359156899997,95,LSTM,5,2,0.3,True
6,7,40,20,X,X,X,X,X,X,X,X,X,323.6759605729077,120.9177017211914,122.313720703125,,803.7963814359991,124,LSTM,5,3,0.2,True
7,8,40,20,X,X,X,X,X,X,X,X,X,323.6759605729077,130.0105438232422,126.53036499023438,,484.0843312529996,74,LSTM,5,3,0.3,True
8,9,40,40,X,X,X,X,X,X,X,X,X,321.2814802866164,151.50640869140625,145.18389892578125,,276.8818494169991,127,LSTM,4,2,0.2,True
9,10,40,40,X,X,X,X,X,X,X,X,X,321.2814802866164,188.181640625,160.81080627441406,,348.3140607860005,161,LSTM,4,2,0.3,True
10,11,40,40,X,X,X,X,X,X,X,X,X,321.2814802866164,376.0966491699219,302.59771728515625,,298.3116536739999,92,LSTM,4,3,0.2,True
11,12,40,40,X,X,X,X,X,X,X,X,X,321.2814802866164,158.50457763671875,137.0681915283203,,438.0810680359991,129,LSTM,4,3,0.3,True
12,13,40,40,X,X,X,X,X,X,X,X,X,321.2814802866164,297.978515625,247.4498748779297,,235.2150798139992,111,LSTM,5,2,0.2,True
13,14,40,40,X,X,X,X,X,X,X,X,X,321.2814802866164,131.81784057617188,115.2746353149414,,307.7365501429995,146,LSTM,5,2,0.3,True
14,15,40,40,X,X,X,X,X,X,X,X,X,321.2814802866164,270.7088928222656,217.17642211914065,,441.0976887460001,141,LSTM,5,3,0.2,True
15,16,40,40,X,X,X,X,X,X,X,X,X,321.28148028661633,189.0740966796875,153.61537170410156,,445.69465932599996,142,LSTM,5,3,0.3,True
